Instance,Seed,VariableProductScore,BranchingProductScore,BranchingEstimateFromPseudoCosts,MSEScore,MSEScoreDown,MSEScoreUp,BranchingEstimateFromPseudoCosts1,MSEScore1,MSEScoreDown1,MSEScoreUp1,BranchingEstimateFromPseudoCosts2,MSEScore2,MSEScoreDown2,MSEScoreUp2
../Dataset/ReducedLP/scpc2_reduced.lp,338,3.435297,3.106652,3.435297,0.024573,0.016103,0.040856,11.672626,1.919055,0.016103,2.665703,6.950816,0.517507,0.016103,0.735550
../Dataset/ReducedLP/scpc2_reduced.lp,6822,3.435297,3.106652,3.435297,0.024573,0.016103,0.040856,11.672626,1.919055,0.016103,2.665703,6.950816,0.517507,0.016103,0.735550
../Dataset/ReducedLP/scpc2_reduced.lp,8927,3.435297,3.106652,3.435297,0.024573,0.016103,0.040856,11.672626,1.919055,0.016103,2.665703,6.950816,0.517507,0.016103,0.735550
../Dataset/ReducedLP/scpc3_reduced.lp,338,3.288988,3.295955,3.288988,0.030558,0.027217,0.054582,16.037811,4.413734,0.027217,4.988517,9.663399,1.132732,0.027217,1.317868
../Dataset/ReducedLP/scpc3_reduced.lp,6822,3.288988,3.295955,3.288988,0.030558,0.027217,0.054582,16.037811,4.413734,0.027217,4.988517,9.663399,1.132732,0.027217,1.317868
../Dataset/ReducedLP/scpc3_reduced.lp,8927,3.288988,3.295955,3.288988,0.030558,0.027217,0.054582,16.037811,4.413734,0.027217,4.988517,9.663399,1.132732,0.027217,1.317868
../Dataset/ReducedLP/scpb4_reduced.lp,338,2.275002,2.275002,2.275002,0.008780,0.008404,0.042055,10.338031,1.568891,0.008404,6.841535,5.534219,0.406578,0.008404,1.748186
../Dataset/ReducedLP/scpb4_reduced.lp,6822,2.275002,2.275002,2.275002,0.008780,0.008404,0.042055,10.338031,1.568891,0.008404,6.841535,5.534219,0.406578,0.008404,1.748186
../Dataset/ReducedLP/scpb4_reduced.lp,8927,2.275002,2.275002,2.275002,0.008780,0.008404,0.042055,10.338031,1.568891,0.008404,6.841535,5.534219,0.406578,0.008404,1.748186
../Dataset/ReducedLP/scpb2_reduced.lp,338,1.505927,1.873026,1.505927,0.004644,0.008334,0.061418,7.253976,1.222116,0.008334,4.339662,3.876778,0.313136,0.008334,1.170805
../Dataset/ReducedLP/scpb2_reduced.lp,6822,1.505927,1.873026,1.505927,0.004644,0.008334,0.061418,7.253976,1.222116,0.008334,4.339662,3.876778,0.313136,0.008334,1.170805
../Dataset/ReducedLP/scpb2_reduced.lp,8927,1.505927,1.873026,1.505927,0.004644,0.008334,0.061418,7.253976,1.222116,0.008334,4.339662,3.876778,0.313136,0.008334,1.170805
../Dataset/ReducedLP/scpd1_reduced.lp,338,1.108763,1.108763,1.108763,0.002140,0.011422,0.021486,5.220870,0.361346,0.011422,2.286117,2.992387,0.095254,0.011422,0.611397
../Dataset/ReducedLP/scpd1_reduced.lp,6822,1.108763,1.108763,1.108763,0.002140,0.011422,0.021486,5.220870,0.361346,0.011422,2.286117,2.992387,0.095254,0.011422,0.611397
../Dataset/ReducedLP/scpd1_reduced.lp,8927,1.108763,1.108763,1.108763,0.002140,0.011422,0.021486,5.220870,0.361346,0.011422,2.286117,2.992387,0.095254,0.011422,0.611397
../Dataset/ReducedLP/scpd2_reduced.lp,338,0.708996,0.708996,0.708996,0.001655,0.005709,0.030064,5.795201,0.686692,0.005709,4.013403,3.089500,0.178963,0.005709,1.058481
../Dataset/ReducedLP/scpd2_reduced.lp,6822,0.708996,0.708996,0.708996,0.001655,0.005709,0.030064,5.795201,0.686692,0.005709,4.013403,3.089500,0.178963,0.005709,1.058481
../Dataset/ReducedLP/scpd2_reduced.lp,8927,0.708996,0.708996,0.708996,0.001655,0.005709,0.030064,5.795201,0.686692,0.005709,4.013403,3.089500,0.178963,0.005709,1.058481
../Dataset/ReducedLP/scpd4_reduced.lp,338,1.411288,1.463431,1.411288,0.002963,0.003979,0.025186,7.335551,0.689236,0.003979,3.852235,4.698436,0.177794,0.003979,1.003953
../Dataset/ReducedLP/scpd4_reduced.lp,6822,1.411288,1.463431,1.411288,0.002963,0.003979,0.025186,7.335551,0.689236,0.003979,3.852235,4.698436,0.177794,0.003979,1.003953
../Dataset/ReducedLP/scpd4_reduced.lp,8927,1.411288,1.463431,1.411288,0.002963,0.003979,0.025186,7.335551,0.689236,0.003979,3.852235,4.698436,0.177794,0.003979,1.003953
../Dataset/ReducedLP/scpd3_reduced.lp,338,1.337995,1.414648,1.337995,0.004576,0.003597,0.026844,6.553234,0.542824,0.003597,4.208509,4.233508,0.139712,0.003597,1.087787
../Dataset/ReducedLP/scpd3_reduced.lp,6822,1.337995,1.414648,1.337995,0.004576,0.003597,0.026844,6.553234,0.542824,0.003597,4.208509,4.233508,0.139712,0.003597,1.087787
../Dataset/ReducedLP/scpd3_reduced.lp,8927,1.337995,1.414648,1.337995,0.004576,0.003597,0.026844,6.553234,0.542824,0.003597,4.208509,4.233508,0.139712,0.003597,1.087787
